Year,Author,ni,UC,earlyResp,lateResp,earlyRem,lateRem,earlySFrem,lateSFrem,endorem,CD,IBDU,earlyTot,lateTot,antiTNF,vedo,uste,noBio,endoTot,age
2019,Weisshof R,58,53,21,13,19,12,14,10,,4,1,,48,54,47,2,,,39.7
2019,"Ungaro R ",123,123,58,41,13,36,,,37,,,96,,50,50,,35,57,38
2019,Lair-Mehiri L,38,38,18,14,12,12,12,12,,0,0,38,38,38,38,4,,,41
2020,Xiao Y,40,40,34,22,24,16,24,13,,,,,,20,85,20,,,
2020,"Chaparro M ",113,113,66,59,35,36,,,,,,,,113,100,5,,,46
2020,"Biemans VB ",123,123,55,35,41,25,35,22,7,,,99,77,116,76,4,,33,46.4
2020,"Verstockt B ",35,35,,,,,,,6,,,,,35,35,,,35,47.8
2020,Cremer A,70,70,44,53,29,37,,,16,,,,,67,68,,2,42,44
2020,Rutka M,16,16,12,,6,8,,,,,,,,,,,,,36
2020,Honap S,134,134,88,57,68,48,57,47,,0,0,119,108,107,52,,23,,37
2020,Hoffman P,38,38,,,,,11,7,2,,,38,36,,,,,11,
2021,Straatmijer T,36,36,"",22,"","","",11,12,"","","","","","","","","",""
2020,Shimizu H,30,30,14,13,12,12,"","","","","","","","","","","","",""